,index,Feature name,Coefficients,p_values,Original feature name,Score - Calculation,Score - Preliminary,Difference,Score - Final
0,0,Intercept,-1.3847882114945238,,Intercept,311.27262342600596,311.0,-0.2726234260059641,311.0
1,1,grade:A,1.1661561045023738,3.468719453845794e-38,grade,89.86440393601828,90.0,0.13559606398172264,90.0
2,2,grade:B,0.8943328023167503,8.103915300560417e-49,grade,68.91760364699958,69.0,0.08239635300041925,69.0
3,3,grade:C,0.6993434063928237,2.2099993178430003e-35,grade,53.89165148596773,54.0,0.10834851403227219,54.0
4,4,grade:D,0.5110842567423383,9.223989013224467e-22,grade,39.38433449510761,39.0,-0.3843344951076091,39.0
5,5,grade:E,0.33581025162663164,1.0782571242463963e-12,grade,25.877657357810566,26.0,0.1223426421894338,26.0
6,6,grade:F,0.14550985749658413,0.0029853652802751896,grade,11.213041341772502,11.0,-0.21304134177250234,11.0
7,7,home_ownership:OWN,0.09266289483106106,4.250657706006874e-06,home_ownership,7.1406356137308205,7.0,-0.14063561373082045,7.0
8,8,home_ownership:MORTGAGE,0.10556684395184997,7.176301937932364e-17,home_ownership,8.135018519830028,8.0,-0.13501851983002844,8.0
9,9,addr_state:NM_VA,0.031991376435527026,0.3174675508394682,addr_state,2.465266839809751,2.0,-0.4652668398097508,2.0
10,10,addr_state:NY,0.05597760012162197,0.020859207020625964,addr_state,4.313653763228319,4.0,-0.31365376322831917,4.0
11,11,addr_state:OK_TN_MO_LA_MD_NC,0.05754903842780362,0.012933612469792924,addr_state,4.434749357687777,4.0,-0.4347493576877772,4.0
12,12,addr_state:CA,0.062378469169728536,0.0032633732597201464,addr_state,4.806907007335,5.0,0.19309299266500002,5.0
13,13,addr_state:UT_KY_AZ_NJ,0.07748323189738972,0.0018748952598951056,addr_state,5.970885392283286,6.0,0.029114607716714147,6.0
14,14,addr_state:AR_MI_PA_OH_MN,0.13437965674890343,2.45095304086288e-09,addr_state,10.35534411580346,10.0,-0.3553441158034598,10.0
15,15,addr_state:RI_MA_DE_SD_IN,0.10165033969106615,0.0006634315812656066,addr_state,7.833211309329338,8.0,0.16678869067066238,8.0
16,16,addr_state:GA_WA_OR,0.18411820824894087,5.082419812644893e-12,addr_state,14.188214574513744,14.0,-0.18821457451374357,14.0
17,17,addr_state:WI_MT,0.2272677495229333,1.611727951817961e-06,addr_state,17.513333563068553,18.0,0.48666643693144707,18.0
18,18,addr_state:TX,0.22204182891705676,1.3030891777290683e-17,addr_state,17.110622263568516,17.0,-0.11062226356851568,17.0
19,19,addr_state:IL_CT,0.2608684714558177,4.2857270090789693e-19,addr_state,20.102617138964295,20.0,-0.1026171389642947,20.0
20,20,addr_state:KS_SC_CO_VT_AK_MS,0.32074047787035836,2.5875646176372317e-25,addr_state,24.71637523543465,25.0,0.28362476456534935,25.0
21,21,addr_state:WV_NH_WY_DC_ME_ID,0.5178750147702895,1.9776221187209e-22,addr_state,39.907632722591465,40.0,0.09236727740853468,40.0
22,22,verification_status:Not Verified,0.08611039060988769,3.76879319138185e-09,verification_status,6.635697309287215,7.0,0.3643026907127851,7.0
23,23,verification_status:Source Verified,-0.011941049981550158,0.37403371940729235,verification_status,-0.9201815561563376,-1.0,-0.07981844384366243,-1.0
24,24,purpose:credit_card,0.302674225786776,8.996473266724895e-27,purpose,23.32418342802498,23.0,-0.32418342802498046,23.0
